English,POS,Thai
hairdresser,Noun,ช่างทำผม
half,"Noun, Definite Article",ครึ่ง
hall,Noun,ห้องโถง
hammer,"Noun, Verb (usu participle)",ค้อน
hand,"Noun, Verb (transitive)",มือ
hand back,"Noun, Verb (transitive)",ส่งกลับ
hand down,"Noun, Verb (transitive)",ลงมือ
hand in,"Noun, Verb (transitive)",จับมือ
handle,"Noun, Verb (usu participle)",รับมือ
hand out,"Noun, Verb (transitive)",แจก
hand over,"Noun, Verb (transitive)",ส่งมอบ
hand round,"Noun, Verb (transitive)",มือกลม
hang,"Verb (usu participle), Noun",แขวน
hang about,"Verb (usu participle), Noun",แขวนเกี่ยวกับ
hang about with,"Verb (usu participle), Noun",ไปเที่ยวกับ
hang around,"Verb (usu participle), Noun",ป้วนเปี้ยน
hang around with,"Verb (usu participle), Noun",ป้วนเปี้ยนกับ
hang on,"Verb (usu participle), Noun",รอก่อน
hang on to,"Verb (usu participle), Noun",รอก่อน
hang up,"Verb (usu participle), Noun",วางสาย
happen,"Verb (intransitive), Verb (transitive)",เกิดขึ้น
happen to,"Verb (intransitive), Verb (transitive)",เกิดขึ้นกับ
happily,Adverb,อย่างมีความสุข
happiness,Noun,ความสุข
happy,"Adjective, Interjection",มีความสุข
hard,"Adjective, Adverb",แข็ง
hardly,Adverb,แทบจะไม่
harm,"Noun, Verb (transitive)",อันตราย
harmful,Adjective,เป็นอันตราย
harmless,Adjective,ไม่เป็นอันตราย
hat,"Noun, Verb (usu participle)",หมวก
hate,"Verb (usu participle), Verb (intransitive)",เกลียด
hatred,Noun,ความเกลียดชัง
have,"Verb (usu participle), Noun",มี
have back,"Verb (usu participle), Noun",กลับมาได้แล้ว
have on,"Verb (usu participle), Noun",มีต่อ
have to,"Verb (usu participle), Noun",ต้อง
he,"Pronoun, Noun",เขา
head,"Noun, Verb (transitive)",ศีรษะ
headache,Noun,ปวดศีรษะ
heal,"Verb (usu participle), Verb (intransitive)",รักษา
health,"Noun, Interjection",สุขภาพ
healthy,Adjective,สุขภาพดี
hear,"Verb (usu participle), Verb (transitive)",ได้ยิน
hear from,"Verb (usu participle), Verb (transitive)",ได้ยินจาก
hearing,"Noun, Adjective",การได้ยิน
hear of,"Verb (usu participle), Verb (transitive)",ได้ยินจาก
heart,"Noun, Verb (usu participle)",หัวใจ
heat,"Noun, Verb (usu participle)",ความร้อน
heating,"Noun, Verb (usu participle)",เครื่องทำความร้อน
heat up,"Noun, Verb (usu participle)",ร้อนขึ้น
heaven,Noun,สวรรค์
heavily,Adverb,หนักมาก
heavy,"Adjective, Noun",หนัก
heel,"Noun, Verb (transitive)",ส้น
height,Noun,ความสูง
hell,"Noun, Interjection",นรก
hello,Noun,สวัสดี
help,"Verb (usu participle), Verb (transitive)",ช่วย
helpful,Adjective,มีประโยชน์
help out,"Verb (usu participle), Verb (transitive)",ช่วยออก
hence,"Conjunction, Adverb",เพราะฉะนั้น
her,"Pronoun, Definite Article",ของเธอ
here,"Adverb, Noun",ที่นี่
hero,Noun,ฮีโร่
hers,Pronoun,ของเธอ
herself,Pronoun,ตัวเธอเอง
hesitate,"Verb (intransitive), Verb (usu participle)",ลังเล
hi,"Interjection, Noun",สวัสดี
hide,"Verb (usu participle), Verb (transitive)",ซ่อน
high,"Adjective, Adverb",สูง
highlight,"Noun, Verb (transitive)",ไฮไลท์
highly,Adverb,สูง
highway,Noun,ทางหลวง
hill,"Noun, Verb (transitive)",เนินเขา
him,Pronoun,เขา
himself,Pronoun,ตัวเขาเอง
hip,"Noun, Interjection",สะโพก
hire,"Verb (transitive), Noun",จ้าง
hire out,"Verb (transitive), Noun",จ้างออก
his,"Definite Article, Pronoun",ของเขา
historical,Adjective,ประวัติศาสตร์
history,Noun,ประวัติศาสตร์
hit,"Adjective, Verb (usu participle)",ตี
hobby,Noun,งานอดิเรก
hold,"Verb (usu participle), Verb (transitive)",ถือ
hold back,"Verb (usu participle), Verb (transitive)",ถือกลับ
hold on,"Verb (usu participle), Verb (transitive)",เดี๋ยว
hold on to,"Verb (usu participle), Verb (transitive)",ยึดมั่นใน
hold out,"Verb (usu participle), Verb (transitive)",ถือออก
hold up,"Verb (usu participle), Verb (transitive)",รอก่อน
hole,"Noun, Verb (usu participle)",รู
holiday,"Noun, Verb (intransitive)",วันหยุด
hollow,"Adjective, Noun",กลวง
holy,"Adjective, Noun",ศักดิ์สิทธิ์
home,"Noun, Adjective",บ้าน
homework,Noun,การบ้าน
honest,Adjective,ซื่อสัตย์
honestly,"Adverb, Interjection",สุจริต
honour,"Noun, Verb (transitive)",ให้เกียรติ
hook,"Noun, Verb (usu participle)",ตะขอ
hope,"Noun, Verb (transitive)",หวัง
horizontal,"Adjective, Noun",แนวนอน
horn,"Noun, Verb (transitive)",แตร
horror,Noun,สยองขวัญ
horse,"Noun, Verb (transitive)",ม้า
hospital,Noun,โรงพยาบาล
host,"Noun, Verb (usu participle)",เจ้าภาพ
hot,"Adjective, Adverb",ร้อน
hotel,Noun,โรงแรม
hour,Noun,ชั่วโมง
house,"Noun, Verb (usu participle)",บ้าน
household,"Noun, Adjective",ครัวเรือน
housing,Noun,ที่อยู่อาศัย
how,"Adverb, Noun",ยังไง
however,"Conjunction, Adverb",อย่างไรก็ตาม
huge,Adjective,ใหญ่
human,"Adjective, Noun",มนุษย์
humorous,Adjective,มีอารมณ์ขัน
humour,"Noun, Verb (transitive)",อารมณ์ขัน
hundred,"Noun, Definite Article",ร้อย
hundredth,"Adjective, Noun",ที่ร้อย
hungry,Adjective,หิว
hunt,"Verb (usu participle), Verb (intransitive)",ล่า
hunting,Noun,การล่าสัตว์
hurry,"Verb (usu participle), Verb (transitive)",รีบ
hurry up,"Verb (usu participle), Verb (transitive)",รีบหน่อย
hurt,"Verb (usu participle), Verb (intransitive)",เจ็บ
husband,"Noun, Verb (usu participle)",สามี
I,Pronoun,ฉัน
ice,"Noun, Verb (usu participle)",น้ำแข็ง
ice cream,"Noun, Verb (usu participle)",ไอศครีม
idea,Noun,ความคิด
ideal,"Noun, Adjective",ในอุดมคติ
identify,"Verb (usu participle), Verb (intransitive)",แยกแยะ
identify with,"Verb (usu participle), Verb (intransitive)",ระบุด้วย
identity,Noun,ตัวตน
i.e.,"Noun, Adjective",เช่น.
if,"Conjunction, Noun",ถ้า
ignore,"Verb (transitive), Verb (usu participle)",ไม่สนใจ
ill,"Adjective, Noun",ป่วย
illegal,Adjective,ผิดกฎหมาย
illegally,Adverb,อย่างผิดกฎหมาย
illness,Noun,การเจ็บป่วย
illustrate,"Verb (usu participle), Verb (transitive)",แสดงให้เห็น
image,"Noun, Verb (transitive)",ภาพ
imaginary,Adjective,จินตภาพ
imagination,Noun,จินตนาการ
imagine,"Verb (usu participle), Verb (transitive)",จินตนาการ
immediate,Adjective,ทันที
immediately,"Adverb, Conjunction",โดยทันที
immoral,Adjective,ผิดศีลธรรม
impact,"Noun, Verb (usu participle)",ผลกระทบ
impatient,Adjective,ใจร้อน
implication,Noun,ความหมาย
imply,Verb (usu participle),บอกเป็นนัย
import,"Verb (usu participle), Verb (transitive)",นำเข้า
importance,Noun,ความสำคัญ
important,Adjective,สำคัญ
importantly,Adverb,ที่สำคัญ
impose,"Verb (usu participle), Verb (intransitive)",กำหนด
impossible,"Adjective, Noun",เป็นไปไม่ได้
impress,"Verb (usu participle), Verb (transitive)",ประทับใจ
impressed,"Verb (usu participle), Adjective",ประทับใจ
impression,Noun,ความประทับใจ
impressive,Adjective,ประทับใจ
improve,"Verb (usu participle), Verb (transitive)",ทำให้ดีขึ้น
improvement,Noun,การปรับปรุง
in,"Preposition, Adverb",ใน
inability,Noun,การไร้ความสามารถ
inch,"Noun, Verb (usu participle)",นิ้ว
incident,"Noun, Adjective",เหตุการณ์
include,"Verb (transitive), Verb (usu participle)",รวม
including,Verb (transitive),รวมทั้ง
income,Noun,รายได้
increase,"Verb (usu participle), Noun",เพิ่มขึ้น
increasingly,Adverb,มากขึ้นเรื่อยๆ
indeed,"Adverb, Interjection",อย่างแท้จริง
independence,Noun,ความเป็นอิสระ
independent,"Adjective, Noun",เป็นอิสระ
independently,Adverb,อย่างอิสระ
index,"Noun, Verb (transitive)",ดัชนี
indicate,"Verb (transitive), Verb (usu participle)",ระบุ
indication,Noun,ข้อบ่งชี้
indirect,Adjective,ทางอ้อม
indirectly,Adverb,ทางอ้อม
individual,"Adjective, Noun",รายบุคคล
indoor,Adjective,ในร่ม
indoors,Adverb,ในอาคาร
industrial,Adjective,ทางอุตสาหกรรม
industry,Noun,อุตสาหกรรม
inevitable,"Adjective, Noun",หลีกเลี่ยงไม่ได้
inevitably,Adverb,อย่างหลีกเลี่ยงไม่ได้
infect,"Verb (usu participle), Adjective",ติดเชื้อ
infected,Adjective,ติดเชื้อแล้ว
infection,Noun,การติดเชื้อ
infectious,Adjective,ติดเชื้อ
influence,"Noun, Verb (transitive)",อิทธิพล
inform,"Verb (transitive), Verb (intransitive)",แจ้ง
informal,Adjective,ไม่เป็นทางการ
information,Noun,ข้อมูล
ingredient,Noun,วัตถุดิบ
initial,"Adjective, Noun",อักษรย่อ
initially,Adverb,เริ่มแรก
initiative,"Noun, Adjective",ความคิดริเริ่ม
injure,"Verb (transitive), Verb (usu participle)",ได้รับบาดเจ็บ
injured,Adjective,ได้รับบาดเจ็บ
injury,Noun,บาดเจ็บ
ink,"Noun, Verb (transitive)",หมึก
inner,"Adjective, Noun",ภายใน
innocent,"Adjective, Noun",ผู้บริสุทธิ์
insect,Noun,แมลง
insert,"Verb (usu participle), Verb (transitive)",แทรก
inside,"Noun, Preposition",ข้างใน
insist,Verb (usu participle),ยืนกราน
insist on,Verb (usu participle),ยืนยันใน
insist on doing,Verb (usu participle),ยืนกรานที่จะทำ
install,Verb (usu participle),ติดตั้ง
instance,"Noun, Verb (transitive)",ตัวอย่าง
instead,Adverb,แทน
instead of,Adverb,แทน
institute,"Verb (transitive), Noun",สถาบัน
institution,Noun,สถาบัน
instruction,Noun,คำแนะนำ
instrument,"Noun, Verb (usu participle)",อุปกรณ์
insult,"Verb (usu participle), Verb (transitive)",สบประมาท
insulting,Adjective,ดูถูก
insurance,Noun,ประกันภัย
intelligence,Noun,ปัญญา
intelligent,Adjective,ฉลาด
intend,"Verb (usu participle), Verb (transitive)",ตั้งใจ
intended,"Adjective, Noun",ตั้งใจ
intention,Noun,เจตนา
interest,"Noun, Verb (transitive)",ความสนใจ
interested,Adjective,สนใจ
interesting,Adjective,น่าสนใจ
interior,"Noun, Adjective",ภายใน
internal,"Adjective, Noun",ภายใน
international,"Adjective, Noun",ระหว่างประเทศ
Internet,Error: Unable to retrieve part of speech.,อินเทอร์เน็ต
interpret,"Verb (usu participle), Verb (intransitive)",ตีความ
interpretation,Noun,การตีความ
interrupt,"Verb (usu participle), Verb (transitive)",ขัดจังหวะ
interruption,Noun,การหยุดชะงัก
interval,Noun,ช่วงเวลา
interview,"Noun, Verb (usu participle)",สัมภาษณ์
into,Preposition,เข้าไปข้างใน
introduce,"Verb (transitive), Verb (usu participle)",แนะนำ
introduction,Noun,การแนะนำ
invent,Verb (usu participle),ประดิษฐ์
